episode,max_tile,episode_reward,episode_steps
1226,256,3096,251
1227,512,5004,367
1228,256,2964,240
1229,256,3216,554
1230,512,6924,689
1231,1024,10100,650
1232,256,3068,299
1233,256,3844,561
1234,256,3508,304
1235,256,2956,307
1236,256,4232,348
1237,256,3284,299
1238,256,3160,407
1239,1024,11836,709
1240,512,4904,314
1241,512,5248,365
1242,512,4924,405
1243,512,5944,459
1244,512,5252,365
1245,512,6932,528
1246,256,3092,260
1247,1024,10224,971
1248,256,2860,348
1249,512,6564,496
1250,256,2824,252
1251,256,3260,299
1252,256,3000,267
1253,512,6488,448
1254,256,4272,586
1255,256,3028,265
1256,512,5272,550
1257,256,3088,278
1258,512,6368,508
1259,256,3060,421
1260,512,5324,377
1261,512,6588,494
1262,256,2956,252
1263,512,6180,568
1264,512,6660,531
1265,256,3688,393
1266,256,2552,287
1267,512,5256,431
1268,512,5148,357
1269,512,6184,503
1270,256,3256,258
1271,512,5608,437
1272,512,6644,545
1273,128,1320,165
1274,1024,10124,593
1275,512,6216,470
1276,512,6984,509
1277,512,5140,503
1278,128,1276,140
1279,256,2964,246
1280,512,7016,697
1281,512,7320,751
1282,1024,10928,913
1283,256,2476,214
1284,512,5024,404
1285,256,3240,322
1286,256,3464,284
1287,256,3160,240
1288,512,5268,413
1289,256,2720,238
1290,1024,11588,788
1291,128,1612,213
1292,256,4128,373
1293,512,6152,403
1294,256,3368,313
1295,256,2860,237
1296,256,3732,381
1297,512,5220,424
1298,512,6792,723
1299,128,1368,161
1300,512,7128,666
1301,512,6452,458
1302,1024,10800,716
1303,256,2884,223
1304,128,1276,167
1305,512,6956,595
1306,512,5452,429
1307,128,1704,242
1308,512,6336,466
1309,128,1716,212
1310,512,6860,541
1311,512,5504,492
1312,256,3116,348
1313,512,7448,637
1314,512,6824,579
1315,128,1272,133
1316,512,6824,473
1317,256,3000,237
1318,512,6616,508
1319,512,7872,682
1320,256,2980,312
1321,512,7024,524
1322,512,5300,604
1323,256,4020,303
1324,256,3096,336
1325,512,4516,420
1326,512,6880,761
1327,512,6884,594
1328,256,2356,339
1329,1024,11964,751
1330,512,6812,446
1331,256,3088,269
1332,256,4032,347
1333,256,2116,229
1334,256,2940,258
1335,512,5212,426
1336,512,5160,429
1337,512,5236,391
1338,512,7168,670
1339,256,3004,225
1340,512,6088,399
1341,512,5448,393
1342,1024,10240,623
1343,1024,11652,896
1344,512,6140,469
1345,512,7820,692
1346,256,3664,310
1347,128,2104,200
1348,512,5280,523
1349,256,4076,371
1350,128,1656,163
1351,512,5336,475
1352,256,2496,308
1353,512,5012,331
1354,512,5264,428
1355,512,6140,564
1356,512,7304,616
1357,256,3004,288
1358,256,3180,294
1359,256,2564,253
1360,512,6928,709
1361,256,3236,339
1362,512,6896,569
1363,256,2940,243
1364,512,6272,432
1365,256,2748,247
1366,256,3976,334
1367,512,6580,592
1368,512,6224,458
1369,512,6908,629
1370,1024,11944,768
1371,512,5428,415
1372,256,3964,401
1373,512,5200,524
1374,1024,9804,877
1375,256,2924,240
1376,512,5516,456
1377,512,6848,593
1378,256,2832,241
1379,256,3716,614
1380,512,5344,468
1381,128,1736,275
1382,512,6196,465
1383,1024,13424,920
1384,512,4408,304
1385,512,5440,499
1386,512,6356,457
1387,1024,11196,668
1388,256,3968,300
1389,512,6188,436
1390,1024,10220,864
1391,512,6168,428
1392,512,7392,542
1393,512,5280,436
1394,256,3512,270
1395,256,2760,284
1396,512,6920,696
1397,512,6764,553
1398,256,3044,266
1399,512,5812,403
1400,128,1384,179
1401,512,6132,553
1402,512,6536,442
1403,512,6836,540
1404,128,1644,157
1405,512,5288,551
1406,512,5304,368
1407,512,5640,433
1408,128,1940,183
1409,512,5224,461
1410,512,7104,517
1411,256,2920,308
1412,512,6848,487
1413,1024,10524,897
1414,512,5180,373
1415,256,3108,298
1416,256,3204,289
1417,256,2512,228
1418,128,1248,124
1419,128,1660,182
1420,512,6248,633
1421,256,3552,307
1422,512,4912,345
1423,512,5276,347
1424,256,2972,259
1425,256,2644,222
1426,512,5244,449
1427,256,3220,297
1428,256,3672,452
1429,512,5212,433
1430,256,3276,356
1431,256,3064,266
1432,128,1304,145
1433,512,6460,441
1434,256,3456,314
1435,256,3740,361
1436,256,3060,266
1437,1024,11672,671
1438,256,3084,293
1439,512,5396,390
1440,128,1692,150
1441,128,2140,302
1442,512,6860,451
1443,512,5728,470
1444,256,3068,278
1445,256,5024,560
1446,256,3304,273
1447,128,1576,203
1448,256,2788,231
1449,256,4404,450
1450,128,1380,230
1451,512,6608,449
1452,512,5332,378
1453,256,2756,218
1454,512,5232,430
1455,512,6712,524
1456,512,5276,454
1457,512,6228,404
1458,512,6504,471
1459,256,4636,355
1460,512,5252,379
1461,512,6604,452
1462,512,6908,556
1463,512,6864,457
1464,512,5876,422
1465,256,2812,219
1466,128,1556,148
1467,128,1564,153
1468,256,2956,299
1469,256,3008,256
1470,512,4952,341
1471,512,6916,740
1472,128,1936,218
1473,512,5912,464
1474,512,8376,890
1475,256,3236,445
1476,512,5224,473
1477,512,6632,752
1478,256,3104,414
1479,512,6328,483
1480,256,3640,385
1481,1024,11716,766
1482,256,2856,237
1483,256,2236,280
1484,512,6804,534
1485,512,6872,480
1486,512,6896,633
1487,256,3928,296
