episode,episode_steps,episode_reward,max_tile
1036,304,3532,256
1037,613,5496,512
1038,450,5280,512
1039,182,1308,128
1040,279,3056,256
1041,248,2748,256
1042,588,6924,512
1043,258,2988,256
1044,466,6352,512
1045,367,5864,512
1046,504,5252,512
1047,713,7000,512
1048,221,1364,128
1049,271,3172,256
1050,326,3384,256
1051,745,10172,1024
1052,265,3100,256
1053,306,3020,256
1054,452,5368,512
1055,562,6776,512
1056,326,3168,256
1057,330,3080,256
1058,304,3752,256
1059,383,2952,256
1060,628,6576,512
1061,523,6188,512
1062,456,5292,512
1063,257,2992,256
1064,286,1388,128
1065,275,3092,256
1066,357,5252,512
1067,387,5408,512
1068,74,576,64
1069,101,952,128
1070,260,2076,128
1071,326,3188,256
1072,463,5304,512
1073,239,2980,256
1074,260,3232,256
1075,269,2976,256
1076,368,3724,256
1077,297,3112,256
1078,354,3344,256
1079,462,5268,512
1080,443,5360,512
1081,200,1112,128
1082,747,6908,512
1083,577,3352,256
1084,301,2968,256
1085,363,3308,256
1086,349,4784,512
1087,200,1428,128
1088,609,6756,512
1089,224,2364,256
1090,159,1284,128
1091,197,2024,128
1092,215,2280,256
1093,490,6872,512
1094,342,4764,512
1095,612,6280,512
1096,309,3080,256
1097,457,6132,512
1098,221,2708,256
1099,679,5488,512
1100,263,1612,128
1101,251,3096,256
1102,395,2948,256
1103,361,4592,512
1104,426,4240,256
1105,594,6816,512
1106,497,5248,512
1107,505,6840,512
1108,565,6228,512
1109,391,5216,512
1110,252,3192,256
1111,266,2632,256
1112,370,5196,512
1113,303,3580,256
1114,474,5656,512
1115,236,3064,256
1116,279,3068,256
1117,210,2112,128
1118,267,3084,256
1119,268,3256,256
1120,536,5224,512
1121,336,3076,256
1122,576,6892,512
1123,254,3220,256
1124,563,6732,512
1125,219,2300,256
1126,289,3308,256
1127,357,3060,256
1128,685,7564,512
1129,684,6936,512
1130,240,2380,256
1131,1025,6948,512
1132,389,3280,256
1133,245,3108,256
1134,544,5228,512
1135,217,1412,128
1136,246,2760,256
1137,657,6716,512
1138,418,3000,256
1139,588,6608,512
1140,829,6516,512
1141,180,1372,128
1142,734,7916,512
1143,216,2288,256
1144,229,2820,256
1145,292,3020,256
1146,892,7004,512
1147,416,3644,256
1148,281,3036,256
1149,463,4776,256
1150,436,5212,512
1151,591,7340,512
1152,359,5120,512
1153,222,2696,256
1154,711,6892,512
1155,464,3232,256
1156,459,4792,512
1157,465,5488,512
1158,818,10164,1024
1159,462,5172,512
1160,629,6868,512
1161,533,5628,512
1162,700,11244,1024
1163,537,6228,512
1164,259,2916,256
1165,492,5908,512
1166,367,1592,128
1167,496,6892,512
1168,306,2960,256
1169,374,3824,256
1170,704,6964,512
1171,306,2924,256
1172,231,2756,256
1173,406,5180,512
1174,503,6936,512
1175,208,1332,128
1176,320,3060,256
1177,229,2368,256
1178,743,8184,512
1179,414,5108,512
1180,260,2576,256
1181,461,5504,512
1182,510,5376,512
1183,225,1264,128
1184,320,3012,256
1185,533,2040,128
1186,408,6020,512
1187,758,6872,512
1188,584,6876,512
1189,268,2964,256
1190,274,3024,256
1191,358,3288,256
1192,190,2204,256
1193,400,4276,256
1194,588,6624,512
1195,312,3776,256
1196,930,12520,1024
1197,360,5220,512
1198,621,6396,512
1199,178,1556,128
1200,553,5816,512
1201,997,13900,1024
1202,412,4048,256
1203,378,3000,256
1204,522,6732,512
1205,265,3032,256
1206,281,3084,256
1207,586,6852,512
1208,401,4048,256
1209,631,5532,512
1210,384,3300,256
1211,654,7072,512
1212,439,6216,512
1213,528,6984,512
1214,248,2800,256
1215,359,4632,512
1216,319,3068,256
1217,775,6932,512
1218,314,2800,256
1219,319,4732,512
1220,350,3028,256
1221,296,3520,256
1222,526,6644,512
1223,421,3200,256
1224,505,6884,512
1225,271,2996,256
1226,251,3096,256
1227,367,5004,512
1228,240,2964,256
1229,554,3216,256
1230,689,6924,512
1231,650,10100,1024
1232,299,3068,256
1233,561,3844,256
1234,304,3508,256
1235,307,2956,256
1236,348,4232,256
1237,299,3284,256
1238,407,3160,256
1239,709,11836,1024
1240,314,4904,512
1241,365,5248,512
1242,405,4924,512
1243,459,5944,512
1244,365,5252,512
1245,528,6932,512
1246,260,3092,256
1247,971,10224,1024
1248,348,2860,256
1249,496,6564,512
1250,252,2824,256
1251,299,3260,256
1252,267,3000,256
1253,448,6488,512
1254,586,4272,256
1255,265,3028,256
1256,550,5272,512
1257,278,3088,256
1258,508,6368,512
1259,421,3060,256
1260,377,5324,512
1261,494,6588,512
1262,252,2956,256
1263,568,6180,512
1264,531,6660,512
1265,393,3688,256
1266,287,2552,256
1267,431,5256,512
1268,357,5148,512
1269,503,6184,512
1270,258,3256,256
1271,437,5608,512
1272,545,6644,512
1273,165,1320,128
1274,593,10124,1024
1275,470,6216,512
1276,509,6984,512
1277,503,5140,512
1278,140,1276,128
1279,246,2964,256
1280,697,7016,512
1281,751,7320,512
1282,913,10928,1024
1283,214,2476,256
1284,404,5024,512
1285,322,3240,256
1286,284,3464,256
1287,240,3160,256
1288,413,5268,512
1289,238,2720,256
1290,788,11588,1024
1291,213,1612,128
1292,373,4128,256
1293,403,6152,512
1294,313,3368,256
1295,237,2860,256
1296,381,3732,256
1297,424,5220,512
1298,723,6792,512
1299,161,1368,128
1300,666,7128,512
1301,458,6452,512
1302,716,10800,1024
1303,223,2884,256
1304,167,1276,128
1305,595,6956,512
1306,429,5452,512
1307,242,1704,128
1308,466,6336,512
1309,212,1716,128
1310,541,6860,512
1311,492,5504,512
1312,348,3116,256
1313,637,7448,512
1314,579,6824,512
1315,133,1272,128
1316,473,6824,512
1317,237,3000,256
1318,508,6616,512
1319,682,7872,512
1320,312,2980,256
1321,524,7024,512
1322,604,5300,512
1323,303,4020,256
1324,336,3096,256
1325,420,4516,512
1326,761,6880,512
1327,594,6884,512
1328,339,2356,256
1329,751,11964,1024
1330,446,6812,512
1331,269,3088,256
1332,347,4032,256
1333,229,2116,256
1334,258,2940,256
1335,426,5212,512
1336,429,5160,512
1337,391,5236,512
1338,670,7168,512
1339,225,3004,256
1340,399,6088,512
1341,393,5448,512
1342,623,10240,1024
1343,896,11652,1024
1344,469,6140,512
1345,692,7820,512
1346,310,3664,256
1347,200,2104,128
1348,523,5280,512
1349,371,4076,256
1350,163,1656,128
1351,475,5336,512
1352,308,2496,256
1353,331,5012,512
1354,428,5264,512
1355,564,6140,512
1356,616,7304,512
1357,288,3004,256
1358,294,3180,256
1359,253,2564,256
1360,709,6928,512
1361,339,3236,256
1362,569,6896,512
1363,243,2940,256
1364,432,6272,512
1365,247,2748,256
1366,334,3976,256
1367,592,6580,512
1368,458,6224,512
1369,629,6908,512
1370,768,11944,1024
1371,415,5428,512
1372,401,3964,256
1373,524,5200,512
1374,877,9804,1024
1375,240,2924,256
1376,456,5516,512
1377,593,6848,512
1378,241,2832,256
1379,614,3716,256
1380,468,5344,512
1381,275,1736,128
1382,465,6196,512
1383,920,13424,1024
1384,304,4408,512
1385,499,5440,512
1386,457,6356,512
1387,668,11196,1024
1388,300,3968,256
1389,436,6188,512
1390,864,10220,1024
1391,428,6168,512
1392,542,7392,512
1393,436,5280,512
1394,270,3512,256
1395,284,2760,256
1396,696,6920,512
1397,553,6764,512
1398,266,3044,256
1399,403,5812,512
1400,179,1384,128
1401,553,6132,512
1402,442,6536,512
1403,540,6836,512
1404,157,1644,128
1405,551,5288,512
1406,368,5304,512
1407,433,5640,512
1408,183,1940,128
1409,461,5224,512
1410,517,7104,512
1411,308,2920,256
1412,487,6848,512
1413,897,10524,1024
1414,373,5180,512
1415,298,3108,256
1416,289,3204,256
1417,228,2512,256
1418,124,1248,128
1419,182,1660,128
1420,633,6248,512
1421,307,3552,256
1422,345,4912,512
